cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,AR,ET,CTL,VT
18,21,1,68,41,0.0,0.0,18,0,9,9,0,0,10,0,0,0,10,1,0,10,0,0,8,0,10,187,0,0,0,1,0,71,26,31,0,33,1,0,1,3,103,1,0,0,0,0,0
6,3,1,12,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,13,20,0,0,0,0,0,17,37,1,1,1,0,0,0,0,34,1,0,1,0,0,0
4,8,1,7,6,0.0,0.0,4,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,28,1,0,0,0,0,5,44,0,0,0,0,0,0,0,16,1,0,1,0,0,0
5,3,1,5,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,3,12,0,1,0,0,0,0,2,2,0,2,1,0,0,0,15,1,0,1,1,1,0
11,8,1,28,21,0.0,0.0,7,2,5,2,0,0,5,0,0,0,1,1,0,1,0,0,1,0,17,84,0,1,0,0,0,11,32,18,5,18,1,0,0,4,92,1,0,1,1,1,0
4,8,1,14,28,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,38,50,0,0,0,0,0,0,102,0,0,0,0,0,0,0,17,1,0,1,0,0,0
4,3,1,8,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,5,3,5,0,5,0,0,0,0,15,1,2,1,1,0,0
22,10,1,41,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,77,0,6,0,0,0,22,84,27,1,27,2,0,0,2,58,1,0,1,1,1,1
12,3,1,23,0,0.0,0.0,2,0,2,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,25,40,0,0,0,0,0,16,39,9,0,9,0,0,0,0,44,1,0,1,1,0,0
16,15,1,56,105,0.0,0.0,15,9,4,2,0,9,13,0,0,0,0,0,0,0,0,0,0,0,87,136,7,0,0,0,0,71,72,21,0,25,0,0,0,3,56,1,1,1,0,0,1
41,10,1,99,28,0.0,0.0,8,0,5,3,0,0,5,0,0,0,1,1,0,1,0,0,1,0,51,115,2,2,0,11,0,36,88,37,3,42,3,0,1,10,116,1,0,1,1,1,1
13,11,1,44,36,0.0,0.0,9,2,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,197,2,1,1,0,0,7,152,37,1,26,1,0,0,13,55,1,0,1,1,0,1
14,6,1,31,10,0.0,0.0,5,1,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,46,54,1,1,0,0,0,37,61,20,3,19,1,0,0,0,54,1,0,1,1,0,1
10,7,1,10,4,0.0,0.0,5,2,3,2,0,0,3,0,0,0,1,1,0,1,0,0,1,0,32,52,2,2,0,0,0,2,100,9,0,9,1,0,0,0,34,1,0,1,1,0,0
16,11,1,38,8,0.0,0.0,8,2,6,1,0,1,8,0,0,0,3,3,0,0,0,3,3,0,48,72,2,2,0,0,0,88,7,15,3,15,1,0,0,0,78,1,0,1,1,1,1
11,15,1,36,10,0.0,0.0,5,1,4,1,0,0,4,0,0,0,1,1,0,1,0,0,1,0,10,81,0,6,2,4,0,6,26,22,7,20,4,0,0,2,100,1,0,1,1,1,1
7,7,1,35,15,0.0,0.0,6,1,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,3,67,1,1,0,0,0,20,27,14,0,14,1,0,0,3,32,1,0,1,1,0,0
6,5,1,28,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,63,0,0,0,0,0,51,18,10,0,11,0,0,0,2,27,1,0,1,1,0,0
4,10,1,16,15,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,25,98,0,4,0,0,0,0,52,19,4,19,2,0,1,0,39,1,0,1,0,1,0
6,7,1,15,10,0.0,0.0,5,1,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,45,0,2,0,0,0,2,14,13,1,13,1,0,0,3,37,1,0,1,1,0,0
11,10,1,27,16,0.0,0.0,9,0,8,0,1,0,9,0,0,0,1,0,0,1,0,0,1,0,14,75,0,1,0,0,0,27,15,29,0,29,1,0,0,0,36,1,0,1,1,0,0
17,35,1,44,0,0.0,0.0,35,0,35,0,0,0,35,0,0,0,4,2,0,4,0,0,4,0,48,325,0,0,0,0,38,195,119,54,3,54,0,0,0,7,82,1,0,1,1,0,1
13,8,1,36,0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,7,111,0,0,0,0,16,106,25,24,0,24,0,0,0,1,39,1,0,1,1,0,1
15,17,1,41,74,0.0,0.0,13,5,8,5,0,0,9,0,0,0,3,3,0,3,0,0,3,0,45,160,2,2,0,0,0,152,56,19,2,19,2,0,0,20,62,1,0,1,0,1,0
13,16,1,51,0,0.0,0.0,16,0,16,0,0,0,16,0,0,0,2,0,0,2,0,0,2,0,36,219,0,0,0,0,0,129,50,65,0,61,0,0,0,3,59,1,0,1,1,0,1
5,2,1,6,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,11,0,0,0,0,0,2,2,2,0,2,0,0,0,0,12,1,0,1,1,0,0
9,8,1,16,0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,11,59,0,0,0,1,0,27,18,19,0,19,1,0,0,0,32,1,0,1,1,0,0
9,8,1,24,8,0.0,0.0,8,0,5,3,0,0,5,0,0,0,1,0,0,1,0,0,0,0,2,69,2,0,0,0,0,26,3,24,0,24,0,0,0,2,47,1,0,1,1,0,0
9,6,1,22,15,0.0,0.0,6,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,57,2,0,0,0,0,21,1,7,0,7,0,0,1,2,39,1,0,1,1,0,0
8,7,1,18,21,0.0,0.0,7,0,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,44,2,0,0,0,0,20,3,10,0,10,0,0,0,3,42,1,0,1,1,0,0
5,7,1,7,21,0.0,0.0,7,1,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,30,1,0,0,0,0,26,2,3,0,3,0,0,0,0,22,1,0,1,0,0,0
9,7,1,21,0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,3,91,0,0,0,0,0,66,21,27,0,27,0,0,0,0,30,1,0,1,1,0,0
3,3,1,5,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,4,0,0,0,0,0,0,0,2,10,1,0,0,0,0,0
9,4,1,16,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,6,43,0,0,0,0,0,27,17,15,0,15,0,0,0,1,28,1,0,1,1,0,0
13,48,1,36,235,0.0,0.0,47,0,41,6,0,0,42,0,0,0,10,8,0,10,0,0,10,0,27,341,2,0,0,0,2,115,15,54,0,53,0,0,0,4,72,1,0,1,1,0,0
9,3,1,13,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,3,21,0,0,0,0,1,9,8,5,0,5,0,0,0,0,16,1,0,1,1,0,0
8,7,1,24,9,0.0,0.0,7,0,4,3,0,0,4,0,0,0,1,0,0,1,0,0,0,0,3,68,2,0,0,0,0,22,2,24,0,24,0,0,0,1,45,1,0,1,1,0,0
45,39,4,134,311,0.0,0.0,30,1,19,5,6,0,29,0,0,0,30,19,0,30,0,0,24,0,48,524,4,1,1,1,0,261,42,115,5,126,2,0,4,11,178,1,1,1,1,1,1
7,2,1,6,0,,,2,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,2,0,2,61,0,0,0,0,0,2,2,5,0,5,0,0,2,0,21,1,0,0,0,0,0
5,10,1,15,28,0.0,0.0,8,0,5,3,0,0,5,0,0,0,2,2,0,2,0,0,2,0,8,49,1,2,0,0,0,29,0,9,0,7,1,0,0,3,62,1,0,1,1,1,0
62,69,2,179,0,0.0,0.0,49,0,24,25,0,0,25,0,0,0,37,16,0,37,0,0,16,0,43,1223,19,5,4,5,1,281,301,142,30,145,3,0,1,21,256,1,0,1,1,1,1
12,5,2,38,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,9,1,0,9,0,0,2,0,2,100,0,0,0,1,0,21,5,7,0,13,1,0,0,0,71,1,2,1,0,0,1
14,15,1,29,0,0.0,0.0,12,1,10,1,0,1,12,0,0,0,2,1,0,2,0,0,1,0,4,91,2,0,1,0,0,50,1,20,0,20,1,0,0,1,74,1,0,1,1,0,0
11,6,1,17,0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,13,9,9,4,0,0,9,0,5,85,0,0,0,0,0,15,3,18,0,18,0,0,1,0,54,1,0,1,0,0,0
80,49,5,144,0,0.0,0.0,40,1,25,15,0,0,25,0,0,0,34,4,0,34,0,0,6,0,77,965,4,1,3,3,0,233,231,117,11,110,2,0,4,3,195,1,0,1,1,1,1
73,111,3,157,297,0.0,0.0,67,1,36,31,0,0,37,0,0,0,36,13,0,36,0,0,13,0,59,994,34,5,5,1,0,181,143,156,10,168,4,0,1,16,256,1,0,1,1,1,1
51,36,7,107,0,0.0,0.0,22,2,15,7,0,0,15,0,0,0,16,6,0,12,4,0,7,0,56,457,7,1,8,4,0,29,54,108,3,103,1,0,5,7,167,1,0,1,1,0,1
6,5,1,19,8,0.0,0.0,5,1,2,3,0,0,2,0,0,0,1,1,0,1,0,0,1,0,5,43,3,0,0,0,0,2,0,8,1,10,0,2,0,2,39,1,0,1,1,0,0
5,10,1,25,16,0.0,0.0,8,1,7,1,0,0,7,0,0,0,3,3,0,3,0,0,3,0,17,77,4,2,0,0,0,10,9,22,16,21,1,0,0,6,77,1,0,1,1,1,0
29,22,3,52,0,0.0,0.0,20,0,13,0,7,0,21,0,0,0,13,3,4,1,0,8,3,0,0,394,0,0,1,0,0,10,2,46,0,44,1,0,1,0,103,1,0,1,1,0,1
24,14,2,43,13,0.0,0.0,11,0,7,0,4,0,12,0,0,0,7,2,0,5,0,2,2,0,0,172,1,0,1,1,2,18,23,23,4,26,2,0,1,2,97,1,0,1,1,0,1
27,23,4,53,0,0.0,0.0,22,2,17,0,5,0,22,0,0,0,6,0,0,6,0,0,0,0,38,252,0,1,0,0,10,57,7,37,7,33,1,0,5,1,95,1,0,1,1,0,0
6,33,1,23,168,0.0,0.0,25,0,22,3,0,0,22,0,0,0,2,0,1,1,0,0,0,0,86,172,1,7,0,0,0,230,0,21,7,21,1,0,0,0,95,1,0,1,0,1,1
12,9,1,28,0,0.0,0.0,8,2,6,2,0,0,6,0,0,0,6,0,0,6,0,0,5,0,15,72,0,0,0,0,0,9,2,30,1,30,0,0,0,0,42,1,0,1,0,0,1
5,13,1,23,16,0.0,0.0,9,0,9,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,19,65,0,4,0,0,0,11,0,10,0,10,1,0,0,1,46,1,0,1,1,1,0
2,5,1,9,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,16,0,3,0,0,0,0,0,1,0,1,2,0,0,0,20,1,0,1,1,1,0
9,10,1,27,0,0.0,0.0,10,1,9,1,0,0,9,0,0,0,5,5,0,5,0,0,5,0,12,58,1,0,0,0,0,10,64,16,0,13,0,0,0,3,76,1,0,1,1,0,0
10,2,2,12,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,16,0,0,0,0,0,0,0,2,0,3,0,0,0,0,21,1,0,1,0,0,0
50,16,7,61,5,0.0,0.0,11,2,8,1,2,0,12,0,0,0,10,7,0,10,0,0,5,0,32,269,5,2,0,1,0,70,8,75,1,66,2,0,5,5,98,1,0,0,0,0,0
7,8,1,30,28,0.0,0.0,8,0,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,149,1,0,0,0,0,56,4,44,0,44,0,9,0,3,42,1,0,1,1,0,0
40,58,1,103,0,0.0,0.0,51,1,46,5,0,0,53,0,1,0,23,19,0,23,0,0,19,0,35,587,4,0,0,0,2,112,23,149,10,142,1,0,0,15,184,1,0,1,1,0,1
4,6,1,25,0,0.0,0.0,5,0,5,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,8,144,0,0,0,0,0,152,0,18,0,18,0,0,0,0,44,1,0,1,0,0,1
25,24,1,62,63,0.0,0.0,18,1,13,5,0,0,13,0,0,0,4,1,0,3,1,0,1,0,19,292,4,0,4,3,0,101,9,94,4,69,4,1,0,1,128,1,0,1,1,0,1
45,18,1,87,0,0.0,0.0,14,1,11,3,0,0,11,0,0,0,29,2,2,27,0,0,2,0,67,297,7,1,3,0,0,49,69,66,1,71,1,0,1,3,128,1,0,1,1,0,1
15,12,1,35,0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,11,1,1,10,0,0,1,0,73,146,0,0,0,0,0,20,32,53,0,53,0,0,0,0,63,1,0,1,0,0,0
65,88,4,172,0,0.0,0.0,57,0,51,6,0,0,58,0,0,0,45,26,0,45,0,0,27,0,200,1633,34,5,2,6,1,109,259,168,9,157,2,0,2,36,300,1,0,1,1,1,1
27,47,1,158,192,0.0,0.0,44,13,22,22,0,0,22,0,0,0,16,0,2,11,0,3,0,0,160,898,16,1,0,2,0,206,411,201,65,94,1,0,0,30,159,1,0,1,1,1,1
4,25,1,21,190,0.0,0.0,20,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,12,209,1,5,2,0,0,73,12,47,7,59,1,0,0,21,61,1,0,1,1,1,0
19,4,1,22,1,,,2,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,2,39,0,1,0,0,0,27,0,9,0,10,2,0,0,0,49,1,0,1,1,1,1
5,5,1,8,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,1,0,4,0,0,1,0,1,58,0,1,0,0,0,0,32,4,0,4,1,0,0,0,30,1,0,1,1,1,1
29,36,1,56,309,0.0,0.0,27,0,24,2,0,1,26,0,0,0,5,1,1,2,0,2,1,0,11,263,2,1,3,2,1,21,73,39,10,36,4,1,1,9,124,1,0,1,1,1,1
29,26,1,54,0,0.0,0.0,21,0,17,4,0,0,17,0,0,0,8,3,0,5,0,3,3,0,12,196,3,1,1,0,0,54,19,49,3,51,2,0,0,1,120,1,5,1,0,1,0
11,3,1,6,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,0,0,5,0,0,0,0,1,19,0,1,0,0,0,1,2,2,0,6,1,0,0,0,27,1,0,1,0,1,0
6,3,1,15,3,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,1,10,3,0,7,1,0,0,4,27,1,0,1,1,0,0
14,5,1,20,0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,1,0,0,5,0,1,0,2,52,3,0,0,0,0,8,1,11,0,12,1,0,0,3,57,1,0,1,0,0,0
33,20,1,76,0,0.0,0.0,16,1,11,5,0,0,14,0,0,0,25,17,0,25,0,0,17,0,16,360,1,0,1,0,0,37,117,64,0,76,2,0,0,20,130,1,0,1,1,0,1
18,14,1,58,0,0.0,0.0,14,0,14,0,0,0,14,0,0,0,13,9,0,9,0,4,9,0,72,445,3,0,0,0,0,90,43,111,39,107,0,0,0,7,85,1,0,1,1,0,1
47,84,1,168,1770,0.0,0.0,60,0,35,22,3,0,38,0,0,0,0,0,0,0,0,0,0,0,89,589,23,17,6,34,0,94,143,240,2,237,3,0,0,13,226,1,2,1,1,1,0
8,18,1,29,61,0.0,0.0,14,0,10,0,4,0,14,0,0,0,10,9,0,10,0,0,9,0,8,129,0,0,5,7,0,23,1,19,1,19,3,0,0,3,81,1,9,0,1,0,1
2,1,1,9,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,18,10,2,0,2,0,0,0,0,10,1,0,1,1,0,0
8,5,1,13,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,51,0,0,0,0,0,22,13,18,4,18,0,0,0,1,32,1,0,1,0,0,0
9,9,1,20,0,0.0,0.0,8,0,6,2,0,0,6,0,0,0,5,1,1,4,0,0,1,0,2,44,0,1,1,0,0,0,7,5,0,7,1,0,0,1,52,1,0,1,1,1,0
2,2,1,9,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,2,4,3,0,3,0,2,0,0,17,1,0,1,1,0,0
4,20,2,18,25,0.0,0.0,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,0,0,1,176,0,0,3,7,0,4,8,21,0,21,2,0,1,4,49,1,0,1,1,1,0
8,9,1,17,0,0.0,0.0,7,0,6,1,0,0,6,0,0,0,4,0,0,4,0,0,0,0,3,67,3,0,1,2,0,0,16,9,0,6,2,0,0,1,44,1,0,1,1,0,0
7,12,1,16,0,0.0,0.0,10,0,7,3,0,0,7,0,0,0,6,0,0,6,0,0,0,0,4,83,4,0,1,1,0,0,29,17,0,8,2,0,0,1,45,1,0,1,1,0,0
6,8,1,14,0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,2,0,3,0,0,2,0,2,33,0,0,0,0,0,2,1,5,0,5,0,0,0,2,38,1,0,1,0,0,0
10,13,1,19,0,0.0,0.0,12,0,8,0,4,0,12,4,0,0,6,2,0,6,0,0,2,0,0,51,0,1,0,0,0,4,2,10,0,9,1,0,0,4,53,1025,0,1,1,1,0
28,15,2,46,0,0.0,0.0,15,1,14,1,0,0,14,0,0,0,8,4,0,6,0,2,4,0,14,253,8,0,0,0,0,66,51,50,2,52,1,0,0,9,100,1,0,1,1,0,1
5,4,1,8,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,14,8,8,0,8,0,0,0,0,18,1,0,1,1,0,0
20,16,1,64,0,0.0,0.0,11,1,6,5,0,0,8,0,0,0,22,14,0,21,0,1,14,0,28,252,6,1,1,1,0,38,59,48,0,53,2,0,0,8,103,1,0,1,1,1,1
31,38,1,126,0,0.0,0.0,27,0,15,12,0,0,16,0,0,0,28,17,0,27,0,1,17,0,112,558,5,6,4,0,0,90,612,96,0,81,2,0,0,4,152,1,0,1,1,0,1
14,17,1,35,0,0.0,0.0,11,0,10,1,0,0,10,0,0,0,11,6,0,11,0,0,5,0,7,123,1,0,4,0,0,13,11,20,0,23,2,0,0,2,117,1,0,1,1,0,0
10,8,1,32,7,0.0,0.0,7,1,5,2,0,0,6,0,0,0,6,2,0,2,0,4,1,0,14,63,2,0,0,0,1,17,0,12,0,12,0,0,0,1,53,1,0,1,1,0,0
4,3,2,4,3,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,1,16,1,0,0,0,0,3,0,3,0,3,0,0,0,0,19,1,0,0,0,0,0
4,3,2,4,3,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,1,15,1,0,0,0,0,2,0,2,0,2,0,0,0,0,18,1,0,0,0,0,0
8,6,1,23,13,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,5,54,1,0,0,0,0,4,0,17,0,16,1,0,0,5,61,1,0,1,1,0,0
10,18,1,31,105,0.0,0.0,15,0,11,4,0,0,11,0,0,0,1,1,0,1,0,0,1,0,6,121,4,0,1,0,2,56,1,40,5,40,1,0,0,1,103,1,0,0,0,0,0
15,15,1,29,91,0.0,0.0,14,0,13,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,11,135,1,1,0,0,2,284,9,42,4,41,1,0,1,0,94,1,0,1,1,0,1
5,6,1,20,15,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,16,12,25,0,24,0,0,0,0,34,1,0,1,1,0,0
17,9,1,52,36,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,16,121,0,0,0,0,0,96,30,37,1,44,0,0,0,10,97,1,0,1,1,0,1
4,1,1,9,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,6,1,3,0,3,0,0,0,0,16,1,0,1,1,0,0
9,3,1,22,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,58,0,0,0,0,0,30,38,23,0,23,0,0,0,0,51,1,0,1,1,0,1
4,2,1,4,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,4,4,6,0,6,0,0,0,0,17,1,0,1,1,0,0
5,1,1,8,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,4,5,5,0,5,0,0,0,0,13,1,0,1,1,0,0
21,7,1,50,10,0.0,0.0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,90,0,2,0,0,0,29,61,31,0,31,1,0,0,0,59,1,0,1,1,1,1
4,1,1,7,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,3,3,5,0,5,0,0,0,0,11,1,0,1,1,0,0
4,1,1,7,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,3,3,5,0,5,0,0,0,0,11,1,0,1,0,0,0
5,8,1,13,0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,6,0,0,6,0,0,0,0,1,61,0,0,0,0,1,1,15,7,8,7,0,0,0,0,35,1,0,1,1,0,0
5,8,1,13,0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,6,0,0,6,0,0,0,0,1,61,0,0,0,0,1,1,15,7,8,7,0,0,0,0,35,1,0,1,0,0,0
5,1,1,7,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,2,5,5,0,5,0,0,0,0,14,1,0,1,1,0,0
9,18,1,25,153,0.0,0.0,18,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,21,142,0,0,0,0,0,93,3,57,16,56,0,0,0,2,50,1,0,1,1,0,0
10,10,2,22,0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,6,3,0,6,0,0,3,0,0,68,0,1,0,0,0,6,12,10,1,9,1,0,0,4,59,1,0,1,1,1,0
12,15,2,42,1,0.0,0.0,11,0,7,4,0,0,7,0,0,0,7,1,0,7,0,0,1,0,20,147,0,3,0,0,0,23,54,25,2,20,1,0,0,0,85,1,0,1,1,1,1
7,4,1,15,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,0,1,4,0,0,0,0,7,51,0,1,0,1,0,25,27,16,3,13,1,0,0,0,46,1,0,1,1,1,1
9,7,2,18,0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,2,0,5,0,0,2,0,0,51,0,2,0,0,0,3,12,10,1,9,1,0,0,0,50,1,0,1,1,1,0
4,7,1,16,9,0.0,0.0,6,0,6,0,0,0,7,0,0,0,3,3,0,3,0,0,3,0,7,37,0,0,0,0,0,5,23,4,0,4,0,0,0,3,34,1,0,1,0,0,0
4,7,1,16,9,0.0,0.0,6,0,6,0,0,0,7,0,0,0,3,3,0,3,0,0,3,0,7,37,0,0,0,0,0,5,23,4,0,4,0,0,0,3,34,1,0,1,0,0,0
4,6,1,14,3,0.0,0.0,3,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,2,0,0,2,13,2,13,2,0,0,3,29,1025,0,1,0,0,0
4,6,1,14,3,0.0,0.0,3,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,2,0,0,2,13,2,13,2,0,0,3,29,1025,0,1,0,0,0
9,40,1,70,631,0.0,0.0,38,0,35,3,0,0,35,0,0,0,4,4,0,4,0,0,4,0,34,227,0,0,2,0,0,40,33,38,0,25,2,0,0,20,66,1,0,1,1,0,0
8,18,1,37,107,0.0,0.0,18,0,18,0,0,0,18,0,0,0,8,8,0,8,0,0,8,0,28,131,0,0,0,0,0,151,69,53,0,49,0,0,0,9,88,1,0,1,1,0,1
